,app,related,kind
0,Napster,KIM KARDASHIAN: HOLLYWOOD,also_bought
1,Napster,Shuttle+ Music Player,also_bought
2,Napster,Candy Crush Saga,also_bought
3,Scan2PDF Mobile 2.0,Genius Scan+,also_viewed
4,Scan2PDF Mobile 2.0,"Tiny Scanner Pro - PDF scanner to scan document, receipt & fax",also_viewed
5,Daily Bible,Word of Promise速 App,also_bought
6,Daily Bible,NIV Live: A Bible Experience,also_bought
7,Daily Bible,Candy Crush Saga,also_bought
8,Daily Bible,KIM KARDASHIAN: HOLLYWOOD,also_bought
9,"Free Calls and Free Texting, Photo and Video Sharing and Cheap International Calls by Voxofon",Spare Phone,also_bought
10,"Free Calls and Free Texting, Photo and Video Sharing and Cheap International Calls by Voxofon","Digipill - De-Stress, Get Slimmer and Sleep Better",also_bought
11,"Free Calls and Free Texting, Photo and Video Sharing and Cheap International Calls by Voxofon",CONTRACT KILLER: ZOMBIES,also_bought
12,"Free Calls and Free Texting, Photo and Video Sharing and Cheap International Calls by Voxofon",FRONTLINE COMMANDO,also_bought
13,Fast Reboot Pro,Spare Phone,also_bought
14,Bubble Defense,Bubble Defense 2,also_bought
15,Bubble Defense 2,Bubble Defense,also_bought
16,Bubble Defense 2,Word Bubbles for Kids,also_bought
17,Bubble Defense 2,Alphabet Coloring,also_bought
18,Fast Reboot,Fast Reboot Pro,also_bought
19,Fast Reboot,Mobile Security & Antivirus,also_bought
20,Fast Reboot,Puzzle & Dragons (Kindle Tablet Edition),also_bought
21,Fast Reboot,Candy Crush Saga,also_bought
22,Fast Reboot,Shuttle+ Music Player,also_bought
23,Enigma - Cryptograms,Cryptograms - Quality Cryptoquote Puzzles,also_bought
24,Vegas Pool Sharks,Tetris,also_bought
25,Tank Ace 1944,Subs vs Ships 3D : Land Sea and Air,also_bought
26,Enjoy Sudoku,Sudoku Elements HD,also_bought
27,Enjoy Sudoku,Cryptograms - Quality Cryptoquote Puzzles,also_bought
28,Backgammon Free,Candy Crush Saga,also_bought
29,View a Clue Zaza's Parade,Mike The Knight: The Great Gallop(Kindle Tablet Edition),also_bought
30,Spell Checker,Mobile Security & Antivirus,also_bought
31,Spell Checker,Puzzle & Dragons (Kindle Tablet Edition),also_bought
32,Spell Checker,NIV Live: A Bible Experience,also_bought
33,Spell Checker,Word of Promise速 App,also_bought
34,Spell Checker,Subs vs Ships 3D : Land Sea and Air,also_bought
35,CONTRACT KILLER: ZOMBIES,FRONTLINE COMMANDO,also_bought
36,Word Bubbles for Kids,Alphabet Coloring,also_bought
37,Word Bubbles for Kids,Bubble Defense 2,also_bought
38,FRONTLINE COMMANDO,CONTRACT KILLER: ZOMBIES,also_bought
39,Sudoku Elements HD,Enjoy Sudoku,also_bought
40,Cryptograms - Quality Cryptoquote Puzzles,Enigma - Cryptograms,also_bought
41,Genius Scan+,"Tiny Scanner Pro - PDF scanner to scan document, receipt & fax",also_bought
42,Mobile Security & Antivirus,"Digipill - De-Stress, Get Slimmer and Sleep Better",also_bought
43,Mobile Security & Antivirus,Candy Crush Saga,also_bought
44,Mobile Security & Antivirus,NIV Live: A Bible Experience,also_bought
45,Mobile Security & Antivirus,Shuttle+ Music Player,also_bought
46,"Digipill - De-Stress, Get Slimmer and Sleep Better",Word of Promise速 App,also_bought
47,"Digipill - De-Stress, Get Slimmer and Sleep Better",NIV Live: A Bible Experience,also_bought
48,Candy Crush Saga,KIM KARDASHIAN: HOLLYWOOD,also_bought
49,NIV Live: A Bible Experience,Word of Promise速 App,also_bought
50,NIV Live: A Bible Experience,Candy Crush Saga,also_bought
51,NIV Live: A Bible Experience,"Digipill - De-Stress, Get Slimmer and Sleep Better",also_bought
52,Spare Phone,KIM KARDASHIAN: HOLLYWOOD,also_bought
53,Spare Phone,Shuttle+ Music Player,also_bought
54,Shuttle+ Music Player,KIM KARDASHIAN: HOLLYWOOD,also_bought
55,Shuttle+ Music Player,Spare Phone,also_bought
56,"Tiny Scanner Pro - PDF scanner to scan document, receipt & fax",Genius Scan+,also_bought
57,KIM KARDASHIAN: HOLLYWOOD,Candy Crush Saga,also_bought
